"MERITVE",OBČINE,2021 Bruto prejeti dohodek - SKUPAJ,2021 Dohodek iz dela,2021 Pokojnine,"2021 Starševska nadomestila, družinski in socialni prejemki","2021 Dohodek iz premoženja, kapitala in drugi prejemki"
"Delež v skupnem bruto prejetem dohodku (%)",Hrpelje - Kozina,100.00,77.77,16.33,4.04,1.86
"Delež v skupnem bruto prejetem dohodku (%)",Idrija,100.00,73.24,19.70,4.20,2.85
"Delež v skupnem bruto prejetem dohodku (%)",Ig,100.00,75.93,16.40,5.43,2.24
"Delež v skupnem bruto prejetem dohodku (%)",Ilirska Bistrica,100.00,74.07,19.95,4.83,1.15
"Delež v skupnem bruto prejetem dohodku (%)",Ivančna Gorica,100.00,77.74,13.71,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Izola/Isola,100.00,70.68,20.24,4.87,4.21
"Delež v skupnem bruto prejetem dohodku (%)",Jesenice,100.00,75.13,18.90,4.88,1.09
"Delež v skupnem bruto prejetem dohodku (%)",Jezersko,100.00,77.52,17.53,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Juršinci,100.00,76.13,16.69,6.52,0.66
"Delež v skupnem bruto prejetem dohodku (%)",Kamnik,100.00,75.49,16.83,4.47,3.21
"Delež v skupnem bruto prejetem dohodku (%)",Kanal,100.00,71.46,22.14,4.73,1.67
"Delež v skupnem bruto prejetem dohodku (%)",Kidričevo,100.00,76.96,16.63,5.36,1.05
"Delež v skupnem bruto prejetem dohodku (%)",Kobarid,100.00,72.82,21.21,4.36,1.61
"Delež v skupnem bruto prejetem dohodku (%)",Kobilje,100.00,75.45,18.66,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Kočevje,100.00,71.10,20.22,7.06,1.62
"Delež v skupnem bruto prejetem dohodku (%)",Komen,100.00,73.76,20.01,3.79,2.44
"Delež v skupnem bruto prejetem dohodku (%)",Komenda,100.00,77.86,12.06,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Koper/Capodistria,100.00,74.41,17.61,4.65,3.33
"Delež v skupnem bruto prejetem dohodku (%)",Kostanjevica na Krki,100.00,78.15,15.76,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Kostel,100.00,69.86,24.39,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Kozje,100.00,74.07,18.70,6.55,0.69
"Delež v skupnem bruto prejetem dohodku (%)",Kranj,100.00,75.65,17.26,4.54,2.56
"Delež v skupnem bruto prejetem dohodku (%)",Kranjska Gora,100.00,71.91,15.03,2.71,10.34
"Delež v skupnem bruto prejetem dohodku (%)",Križevci,100.00,72.32,18.55,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Krško,100.00,75.00,17.38,5.45,2.17
"Delež v skupnem bruto prejetem dohodku (%)",Kungota,100.00,75.47,16.98,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Kuzma,100.00,63.55,26.25,9.14,1.05
"Delež v skupnem bruto prejetem dohodku (%)",Laško,100.00,72.13,20.74,5.46,1.66
"Delež v skupnem bruto prejetem dohodku (%)",Lenart,100.00,74.94,17.53,6.32,1.21
"Delež v skupnem bruto prejetem dohodku (%)",Lendava/Lendva,100.00,69.13,22.64,6.63,1.60
"Delež v skupnem bruto prejetem dohodku (%)",Litija,100.00,76.70,17.01,4.82,1.47
"Delež v skupnem bruto prejetem dohodku (%)",Ljubljana,100.00,73.61,16.49,4.55,5.35
"Delež v skupnem bruto prejetem dohodku (%)",Ljubno,100.00,74.37,18.30,6.17,1.16
"Delež v skupnem bruto prejetem dohodku (%)",Ljutomer,100.00,71.91,20.38,6.29,1.42
"Delež v skupnem bruto prejetem dohodku (%)",Log - Dragomer,100.00,72.74,19.71,3.52,4.02
"Delež v skupnem bruto prejetem dohodku (%)",Logatec,100.00,78.82,14.50,4.74,1.93
"Delež v skupnem bruto prejetem dohodku (%)",Loška dolina,100.00,71.72,21.85,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Loški Potok,100.00,73.56,20.89,4.93,0.62
"Delež v skupnem bruto prejetem dohodku (%)",Lovrenc na Pohorju,100.00,75.17,19.23,5.09,0.51
"Delež v skupnem bruto prejetem dohodku (%)",Luče,100.00,73.60,18.82,6.83,0.74
"Delež v skupnem bruto prejetem dohodku (%)",Lukovica,100.00,78.92,14.31,5.15,1.62
"Delež v skupnem bruto prejetem dohodku (%)",Majšperk,100.00,75.47,16.95,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Makole,100.00,75.85,17.44,5.90,0.81
"Delež v skupnem bruto prejetem dohodku (%)",Maribor,100.00,71.90,19.64,5.69,2.77
"Delež v skupnem bruto prejetem dohodku (%)",Markovci,100.00,80.00,14.40,4.81,0.79
"Delež v skupnem bruto prejetem dohodku (%)",Medvode,100.00,74.95,17.06,4.22,3.76
"Delež v skupnem bruto prejetem dohodku (%)",Mengeš,100.00,75.61,15.75,4.75,3.90
"Delež v skupnem bruto prejetem dohodku (%)",Metlika,100.00,72.01,19.03,6.58,2.39
"Delež v skupnem bruto prejetem dohodku (%)",Mežica,100.00,63.01,17.83,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Miklavž na Dravskem polju,100.00,76.90,17.21,4.27,1.62
"Delež v skupnem bruto prejetem dohodku (%)",Miren - Kostanjevica,100.00,74.11,19.77,4.17,1.95
"Delež v skupnem bruto prejetem dohodku (%)",Mirna,100.00,75.40,14.72,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Mirna Peč,100.00,77.61,15.57,4.66,2.16
"Delež v skupnem bruto prejetem dohodku (%)",Mislinja,100.00,74.72,18.39,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Mokronog - Trebelno,100.00,77.02,15.31,5.48,2.20
"Delež v skupnem bruto prejetem dohodku (%)",Moravče,100.00,80.01,14.14,4.74,1.11
"Delež v skupnem bruto prejetem dohodku (%)",Moravske Toplice,100.00,72.14,20.56,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Mozirje,100.00,74.61,17.81,5.48,2.09
"Delež v skupnem bruto prejetem dohodku (%)",Murska Sobota,100.00,66.61,22.95,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Muta,100.00,76.70,17.38,4.75,1.17
"Delež v skupnem bruto prejetem dohodku (%)",Naklo,100.00,73.64,17.31,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Nazarje,100.00,77.03,15.94,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Nova Gorica,100.00,71.39,21.75,4.25,2.61
"Delež v skupnem bruto prejetem dohodku (%)",Novo mesto,100.00,75.74,15.92,4.72,3.62
"Delež v skupnem bruto prejetem dohodku (%)",Odranci,100.00,77.12,17.29,5.23,0.37
"Delež v skupnem bruto prejetem dohodku (%)",Oplotnica,100.00,77.51,15.39,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Ormož,100.00,74.13,18.68,6.31,0.88
"Delež v skupnem bruto prejetem dohodku (%)",Osilnica,100.00,56.72,32.25,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Pesnica,100.00,75.14,17.65,5.27,1.95
"Delež v skupnem bruto prejetem dohodku (%)",Piran/Pirano,100.00,68.76,20.68,4.92,5.63
"Delež v skupnem bruto prejetem dohodku (%)",Pivka,100.00,76.31,17.93,4.64,1.12
"Delež v skupnem bruto prejetem dohodku (%)",Podčetrtek,100.00,74.61,17.43,6.42,1.55
"Delež v skupnem bruto prejetem dohodku (%)",Podlehnik,100.00,75.96,17.20,6.46,0.38
"Delež v skupnem bruto prejetem dohodku (%)",Podvelka,100.00,73.65,19.32,6.44,0.60
"Delež v skupnem bruto prejetem dohodku (%)",Poljčane,100.00,72.79,20.01,6.22,0.98
"Delež v skupnem bruto prejetem dohodku (%)",Polzela,100.00,75.60,17.53,5.27,1.61
"Delež v skupnem bruto prejetem dohodku (%)",Postojna,100.00,76.38,16.66,4.82,2.13
"Delež v skupnem bruto prejetem dohodku (%)",Prebold,100.00,74.22,18.26,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Preddvor,100.00,75.66,16.80,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Prevalje,100.00,73.04,19.48,5.03,2.45
"Delež v skupnem bruto prejetem dohodku (%)",Ptuj,100.00,74.34,18.28,5.11,2.28
"Delež v skupnem bruto prejetem dohodku (%)",Puconci,100.00,71.50,20.39,7.40,0.71
"Delež v skupnem bruto prejetem dohodku (%)",Rače - Fram,100.00,77.85,15.80,4.95,1.40
"Delež v skupnem bruto prejetem dohodku (%)",Radeče,100.00,73.96,20.48,4.65,0.91
"Delež v skupnem bruto prejetem dohodku (%)",Radenci,100.00,67.75,24.99,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Radlje ob Dravi,100.00,74.63,18.81,5.52,1.03
"Delež v skupnem bruto prejetem dohodku (%)",Radovljica,100.00,73.30,18.73,4.61,3.35
"Delež v skupnem bruto prejetem dohodku (%)",Ravne na Koroškem,100.00,75.24,19.18,4.46,1.12
"Delež v skupnem bruto prejetem dohodku (%)",Razkrižje,100.00,73.10,18.30,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Rečica ob Savinji,100.00,76.64,17.06,5.60,0.70
"Delež v skupnem bruto prejetem dohodku (%)",Renče - Vogrsko,100.00,72.13,22.18,4.09,1.60
"Delež v skupnem bruto prejetem dohodku (%)",Ribnica,100.00,74.74,16.36,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Ribnica na Pohorju,100.00,74.98,17.93,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Rogaška Slatina,100.00,74.47,18.33,5.73,1.47
"Delež v skupnem bruto prejetem dohodku (%)",Rogašovci,100.00,66.26,22.42,10.79,0.53
"Delež v skupnem bruto prejetem dohodku (%)",Rogatec,100.00,76.10,16.68,6.68,0.54
"Delež v skupnem bruto prejetem dohodku (%)",Ruše,100.00,73.38,19.56,5.06,1.99
"Delež v skupnem bruto prejetem dohodku (%)",Selnica ob Dravi,100.00,70.91,17.62,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Semič,100.00,72.24,19.02,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Sevnica,100.00,73.87,18.98,5.75,1.41
"Delež v skupnem bruto prejetem dohodku (%)",Sežana,100.00,70.95,21.01,4.83,3.22
"Delež v skupnem bruto prejetem dohodku (%)",Slovenj Gradec,100.00,75.09,18.13,4.92,1.87
"Delež v skupnem bruto prejetem dohodku (%)",Slovenska Bistrica,100.00,76.00,15.77,5.30,2.93
"Delež v skupnem bruto prejetem dohodku (%)",Slovenske Konjice,100.00,76.55,15.79,5.64,2.02
"Delež v skupnem bruto prejetem dohodku (%)",Sodražica,100.00,75.28,17.69,5.27,1.76
"Delež v skupnem bruto prejetem dohodku (%)",Solčava,100.00,69.47,23.63,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Središče ob Dravi,100.00,71.03,20.87,6.77,1.33
"Delež v skupnem bruto prejetem dohodku (%)",Starše,100.00,76.59,17.15,5.10,1.15
"Delež v skupnem bruto prejetem dohodku (%)",Straža,100.00,76.50,17.25,3.99,2.26
"Delež v skupnem bruto prejetem dohodku (%)",Sveta Ana,100.00,78.30,14.27,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Sveta Trojica v Slov. goricah,100.00,80.77,14.33,4.28,0.61
"Delež v skupnem bruto prejetem dohodku (%)",Sveti Andraž v Slov. goricah,100.00,81.87,10.18,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Sveti Jurij ob Ščavnici,100.00,75.59,15.87,8.01,0.53
"Delež v skupnem bruto prejetem dohodku (%)",Sveti Jurij v Slov. goricah,100.00,79.22,14.36,5.82,0.59
"Delež v skupnem bruto prejetem dohodku (%)",Sveti Tomaž,100.00,75.49,16.58,7.58,0.35
"Delež v skupnem bruto prejetem dohodku (%)",Šalovci,100.00,69.95,24.01,5.48,0.56
"Delež v skupnem bruto prejetem dohodku (%)",Šempeter - Vrtojba,100.00,70.83,22.53,3.40,3.23
"Delež v skupnem bruto prejetem dohodku (%)",Šenčur,100.00,75.41,15.00,4.25,5.34
"Delež v skupnem bruto prejetem dohodku (%)",Šentilj,100.00,75.11,18.61,5.60,0.68
"Delež v skupnem bruto prejetem dohodku (%)",Šentjernej,100.00,78.37,14.46,5.38,1.79
"Delež v skupnem bruto prejetem dohodku (%)",Šentjur,100.00,76.11,16.87,5.68,1.34
"Delež v skupnem bruto prejetem dohodku (%)",Šentrupert,100.00,76.56,15.53,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Škocjan,100.00,77.67,13.97,6.85,1.51
"Delež v skupnem bruto prejetem dohodku (%)",Škofja Loka,100.00,73.10,16.06,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Škofljica,100.00,77.43,14.08,4.25,4.24
"Delež v skupnem bruto prejetem dohodku (%)",Šmarje pri Jelšah,100.00,75.38,17.10,6.75,0.76
"Delež v skupnem bruto prejetem dohodku (%)",Šmarješke Toplice,100.00,76.98,16.14,4.21,2.67
"Delež v skupnem bruto prejetem dohodku (%)",Šmartno ob Paki,100.00,76.28,17.99,4.92,0.81
"Delež v skupnem bruto prejetem dohodku (%)",Šmartno pri Litiji,100.00,75.08,18.10,5.83,0.99
"Delež v skupnem bruto prejetem dohodku (%)",Šoštanj,100.00,74.41,18.99,5.60,1.00
"Delež v skupnem bruto prejetem dohodku (%)",Štore,100.00,72.60,20.38,5.92,1.10
"Delež v skupnem bruto prejetem dohodku (%)",Tabor,100.00,81.08,13.13,4.99,0.79
"Delež v skupnem bruto prejetem dohodku (%)",Tišina,100.00,71.27,20.21,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Tolmin,100.00,70.13,21.92,4.76,3.19
"Delež v skupnem bruto prejetem dohodku (%)",Trbovlje,100.00,69.78,23.07,5.48,1.68
"Delež v skupnem bruto prejetem dohodku (%)",Trebnje,100.00,79.03,13.72,4.89,2.36
"Delež v skupnem bruto prejetem dohodku (%)",Trnovska vas,100.00,80.59,12.78,6.28,0.34
"Delež v skupnem bruto prejetem dohodku (%)",Trzin,100.00,70.59,18.69,3.35,7.38
"Delež v skupnem bruto prejetem dohodku (%)",Tržič,100.00,73.63,19.33,4.37,2.66
"Delež v skupnem bruto prejetem dohodku (%)",Turnišče,100.00,76.19,17.70,5.47,0.64
"Delež v skupnem bruto prejetem dohodku (%)",Velenje,100.00,72.97,20.64,5.17,1.23
"Delež v skupnem bruto prejetem dohodku (%)",Velika Polana,100.00,75.45,18.93,5.05,0.58
"Delež v skupnem bruto prejetem dohodku (%)",Velike Lašče,100.00,75.84,16.88,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Veržej,100.00,71.74,21.01,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Videm,100.00,77.80,15.45,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Vipava,100.00,74.97,17.16,5.70,2.18
"Delež v skupnem bruto prejetem dohodku (%)",Vitanje,100.00,77.23,15.70,6.00,1.07
"Delež v skupnem bruto prejetem dohodku (%)",Vodice,100.00,81.01,12.78,3.71,2.49
"Delež v skupnem bruto prejetem dohodku (%)",Vojnik,100.00,75.48,17.62,5.63,1.28
"Delež v skupnem bruto prejetem dohodku (%)",Vransko,100.00,77.03,15.84,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Vrhnika,100.00,76.38,16.38,4.36,2.88
"Delež v skupnem bruto prejetem dohodku (%)",Vuzenica,100.00,76.26,17.34,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Zagorje ob Savi,100.00,74.71,19.09,5.12,1.08
"Delež v skupnem bruto prejetem dohodku (%)",Zavrč,100.00,80.15,12.95,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Zreče,100.00,76.84,15.83,5.52,1.80
"Delež v skupnem bruto prejetem dohodku (%)",Žalec,100.00,73.05,19.55,5.26,2.13
"Delež v skupnem bruto prejetem dohodku (%)",Železniki,100.00,78.65,15.11,4.46,1.78
"Delež v skupnem bruto prejetem dohodku (%)",Žetale,100.00,78.02,14.49,6.88,0.61
"Delež v skupnem bruto prejetem dohodku (%)",Žiri,100.00,76.93,16.48,z,z
"Delež v skupnem bruto prejetem dohodku (%)",Žirovnica,100.00,76.18,18.25,3.48,2.10
"Delež v skupnem bruto prejetem dohodku (%)",Žužemberk,100.00,79.33,14.34,5.02,1.31
