OBČINE,2021 Bruto prejeti dohodek - SKUPAJ
Videm,0.3604713636167228
Vipava,0.4049825162709967
Vitanje,0.33266697593042066
Vodice,0.6242820420212806
Vojnik,0.40764033658114623
Vransko,0.3971672201074706
Vrhnika,0.5211129581784636
Vuzenica,0.39569645083154714
Zagorje ob Savi,0.4456137404418341
Zavrč,0.3726484201051878
Zreče,0.42886539607637236
Žalec,0.415590969607091
Železniki,0.48493725179749364
Žetale,0.3200496669979431
Žiri,0.46897076316130604
Žirovnica,0.5966708762409616
Žužemberk,0.4292575468644651
