"OBČINE",Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2021,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2022
"Šmartno pri Litiji",0,2.3,1.9,1.9,1.1,1.6,0.5,2.7,1.8,2.0,0.9,1.1,1.8,1.1,1.2,0.7,0.7
"Šoštanj",2.0,2.1,2.0,2.2,2.4,1.6,2.4,2.3,2.5,2.8,3.6,1.6,1.5,1.0,2.8,3.0,2.8
"Štore",1.7,1.4,3.1,3.0,3.2,2.8,3.7,4.0,4.7,2.1,1.9,3.3,3.0,2.0,1.8,1.6,2.0
"Tabor",2.7,2.0,0.0,0,0,0,0,2.4,0.0,1.8,1.8,0,1.8,0,0,0,2.3
"Tišina",0.0,1.2,3.8,3.8,2.2,1.7,4.4,4.6,3.7,2.2,3.7,3.0,4.0,4.0,2.5,4.6,2.3
"Tolmin",2.6,2.8,1.9,1.4,2.0,2.3,1.7,2.9,2.1,2.3,1.7,2.0,1.7,1.4,1.2,1.6,2.1
"Trbovlje",4.3,7.2,5.8,6.4,6.3,5.5,5.6,8.4,6.2,4.0,3.5,2.7,2.9,3.1,2.4,2.7,3.3
"Trebnje",3.2,4.2,4.8,3.6,3.6,2.7,3.9,4.0,4.7,3.5,3.8,2.4,3.7,5.3,2.6,3.1,3.6
"Trnovska vas",0,4.6,4.5,3.8,0,2.2,0.0,0,0,0,2.2,3.0,0,0,0,0.0,0.0
"Trzin",2.4,2.5,1.6,2.1,2.4,1.3,1.0,4.4,2.9,1.3,1.5,2.6,0.8,0,0,1.3,0
"Tržič",3.5,3.8,4.2,2.7,3.2,3.0,4.0,3.4,3.9,3.1,2.3,2.5,2.0,2.7,1.1,1.7,1.7
"Turnišče",2.3,4.3,4.1,2.4,3.0,2.9,7.8,10.5,7.3,4.3,5.5,5.5,3.8,2.8,3.5,2.2,2.8
"Velenje",4.6,4.0,4.1,4.4,3.7,3.7,3.9,5.8,4.3,3.1,3.5,3.0,2.8,2.2,2.5,2.8,2.7
"Velika Polana",2.0,3.9,0,3.4,5.5,4.0,4.7,3.4,0,4.1,2.1,2.8,0,0,0,0,0
"Velike Lašče",0.7,1.7,1.7,0.7,1.9,2.1,1.9,3.6,1.7,1.9,2.8,2.3,0.9,1.8,0,1.1,0
"Veržej",0,3.0,0,0,0,3.1,0,0,0,3.1,3.9,3.1,0,0,0,0.0,0.0
"Videm",0,0.7,1.1,0.5,0.5,1.1,2.3,2.5,2.5,4.4,3.3,2.7,3.1,2.7,1.6,1.2,2.0
"Vipava",1.3,2.2,2.2,1.9,0.9,2.4,2.2,2.3,1.8,1.6,1.3,0.9,0.7,1.4,1.4,1.6,2.1
"Vitanje",3.8,3.4,5.2,0,0,6.6,4.8,6.2,1.3,1.8,2.6,3.5,1.8,0,1.8,2.2,1.8
"Vodice",0,1.2,1.1,0,1.5,1.5,1.1,2.1,1.9,2.1,1.9,1.2,1.4,1.4,2.0,1.6,2.0
"Vojnik",2.2,1.5,2.0,3.1,3.7,1.9,2.1,2.4,4.3,2.7,1.5,2.1,1.9,1.6,2.3,1.9,2.4
"Vransko",1.2,1.6,1.6,1.9,1.2,3.1,1.5,3.1,0,2.7,1.9,2.7,1.1,2.3,1.9,1.5,0
"Vrhnika",3.0,3.7,2.9,2.0,2.4,2.1,1.2,3.9,2.6,2.9,2.6,1.9,1.7,1.9,0.7,1.8,1.1
"Vuzenica",3.9,1.1,2.9,1.5,4.4,2.2,6.6,4.0,2.6,4.0,2.6,1.1,1.1,1.9,2.6,1.5,1.5
"Zagorje ob Savi",2.4,3.6,3.6,3.1,3.9,4.8,3.4,5.8,3.2,2.5,2.0,1.4,1.9,2.7,2.0,3.0,1.6
"Zavrč",0,2.0,0,3.9,3.7,3.7,5.8,2.8,4.0,3.5,0,4.5,0,2.6,0,2.7,4.0
"Zreče",2.8,2.8,2.0,2.3,3.9,2.6,3.0,3.0,3.5,3.1,2.6,2.0,2.5,2.0,2.3,2.1,1.7
"Žalec",3.9,4.0,3.8,4.2,4.1,3.3,3.1,6.1,4.3,3.9,2.8,2.1,2.5,2.1,1.4,2.5,1.9
"Železniki",1.5,1.7,1.5,0.7,1.2,0.7,1.5,3.1,3.1,1.6,1.6,1.6,0.9,2.1,1.4,1.2,1.3
"Žetale",2.1,0,2.2,5.2,0,2.2,5.2,3.0,3.7,2.3,2.3,0,4.6,0,0,0,0
"Žiri",1.2,1.6,2.0,1.0,0,1.0,0.8,1.8,0.8,1.9,0.8,0.6,0.8,0,1.4,1.2,0
"Žirovnica",2.4,1.2,2.6,1.9,1.6,1.8,1.6,1.1,1.4,1.1,1.8,1.4,1.6,1.1,1.1,2.7,0.9
"Žužemberk",0.7,2.6,2.9,1.1,1.3,2.4,1.7,2.0,3.1,2.2,1.7,2.0,0.6,0,0.9,0,1.1
