"OBČINE",2022 Živorojeni - Skupaj,2022 Živorojeni - moški,2022 Živorojeni - ženske,2022 Umrli - Skupaj,2022 Umrli - moški,2022 Umrli - ženske,2022 Naravni prirast - Skupaj,2022 Naravni prirast - moški,2022 Naravni prirast - ženske,2022 Živorojeni na 1.000 prebivalcev,2022 Umrli na 1.000 prebivalcev,2022 Naravni prirast na 1.000 prebivalcev
"Kozje",29,15,14,41,23,18,-12,-8,-4,9.6,13.6,-4.0
"Kranj",498,275,223,517,263,254,-19,12,-31,8.8,9.1,-0.3
"Kranjska Gora",30,18,12,59,31,28,-29,-13,-16,4.2,8.3,-4.1
"Križevci",38,17,21,50,34,16,-12,-17,5,10.7,14.1,-3.4
"Krško",242,122,120,285,151,134,-43,-29,-14,9.3,11.0,-1.7
"Kungota",34,20,14,46,27,19,-12,-7,-5,6.9,9.4,-2.4
"Kuzma",15,8,7,44,22,22,-29,-14,-15,9.2,26.9,-17.7
"Laško",112,52,60,180,101,79,-68,-49,-19,8.6,13.8,-5.2
"Lenart",75,39,36,172,80,92,-97,-41,-56,8.7,20.0,-11.3
"Lendava/Lendva",82,54,28,145,82,63,-63,-28,-35,8.0,14.1,-6.1
"Litija",133,64,69,150,75,75,-17,-11,-6,8.5,9.5,-1.1
"Ljubljana",2387,1227,1160,2611,1220,1391,-224,7,-231,8.1,8.9,-0.8
"Ljubno",31,17,14,34,19,15,-3,-2,-1,12.3,13.5,-1.2
"Ljutomer",74,33,41,160,88,72,-86,-55,-31,6.7,14.4,-7.7
"Log - Dragomer",31,17,14,24,13,11,7,4,3,8.3,6.5,1.9
"Logatec",160,71,89,156,68,88,4,3,1,10.8,10.6,0.3
"Loška dolina",25,10,15,33,19,14,-8,-9,1,6.9,9.2,-2.2
"Loški Potok",16,8,8,30,16,14,-14,-8,-6,9.1,17.0,-8.0
"Lovrenc na Pohorju",13,9,4,31,13,18,-18,-4,-14,4.4,10.5,-6.1
"Luče",12,2,10,10,5,5,2,-3,5,8.2,6.8,1.4
"Lukovica",71,33,38,43,23,20,28,10,18,11.8,7.2,4.7
"Majšperk",27,9,18,41,20,21,-14,-11,-3,6.8,10.3,-3.5
"Makole",13,4,9,19,11,8,-6,-7,1,6.4,9.3,-2.9
"Maribor",805,384,421,1364,639,725,-559,-255,-304,7.2,12.1,-5.0
"Markovci",45,22,23,29,16,13,16,6,10,11.0,7.1,3.9
"Medvode",152,76,76,155,74,81,-3,2,-5,9.0,9.2,-0.2
"Mengeš",94,51,43,113,47,66,-19,4,-23,11.1,13.4,-2.3
"Metlika",80,45,35,108,58,50,-28,-13,-15,9.4,12.7,-3.3
"Mežica",35,12,23,41,19,22,-6,-7,1,9.8,11.5,-1.7
"Miklavž na Dravskem polju",53,24,29,49,21,28,4,3,1,7.4,6.9,0.6
"Miren - Kostanjevica",43,31,12,43,22,21,0,9,-9,8.5,8.5,0.0
"Mirna",27,12,15,22,10,12,5,2,3,10.0,8.2,1.9
"Mirna Peč",31,17,14,37,21,16,-6,-4,-2,10.0,11.9,-1.9
"Mislinja",37,17,20,45,26,19,-8,-9,1,8.1,9.9,-1.8
"Mokronog - Trebelno",32,15,17,23,14,9,9,1,8,10.1,7.3,2.8
"Moravče",62,28,34,39,22,17,23,6,17,11.2,7.0,4.2
"Moravske Toplice",44,23,21,66,32,34,-22,-9,-13,7.4,11.1,-3.7
"Mozirje",44,22,22,34,17,17,10,5,5,9.9,7.7,2.3
"Murska Sobota",144,82,62,241,123,118,-97,-41,-56,7.7,12.9,-5.2
"Muta",33,18,15,32,21,11,1,-3,4,9.7,9.4,0.3
"Naklo",52,29,23,72,34,38,-20,-5,-15,9.5,13.2,-3.7
"Nazarje",28,16,12,26,15,11,2,1,1,10.5,9.8,0.8
"Nova Gorica",219,106,113,361,171,190,-142,-65,-77,6.9,11.3,-4.5
"Novo mesto",387,190,197,352,179,173,35,11,24,10.3,9.3,0.9
"Odranci",10,3,7,18,11,7,-8,-8,0,6.3,11.3,-5.0
"Oplotnica",34,13,21,39,21,18,-5,-8,3,8.2,9.4,-1.2
"Ormož",96,53,43,155,72,83,-59,-19,-40,8.1,13.1,-5.0
"Osilnica",4,2,2,3,1,2,1,1,0,12.1,9.1,3.0
"Pesnica",48,22,26,116,60,56,-68,-38,-30,6.3,15.3,-9.0
"Piran/Pirano",113,59,54,239,122,117,-126,-63,-63,6.2,13.1,-6.9
"Pivka",43,22,21,53,32,21,-10,-10,0,6.9,8.5,-1.6
"Podčetrtek",35,16,19,35,11,24,0,5,-5,9.6,9.6,0.0
"Podlehnik",13,8,5,16,9,7,-3,-1,-2,7.1,8.7,-1.6
"Podvelka",12,4,8,25,11,14,-13,-7,-6,5.2,10.8,-5.6
"Poljčane",28,10,18,80,34,46,-52,-24,-28,6.3,17.9,-11.6
"Polzela",61,26,35,111,45,66,-50,-19,-31,9.5,17.4,-7.8
"Postojna",160,85,75,187,88,99,-27,-3,-24,9.5,11.1,-1.6
"Prebold",34,19,15,68,38,30,-34,-19,-15,6.4,12.8,-6.4
"Preddvor",36,17,19,67,24,43,-31,-7,-24,9.4,17.5,-8.1
"Prevalje",49,29,20,95,42,53,-46,-13,-33,7.3,14.1,-6.8
"Ptuj",180,87,93,277,132,145,-97,-45,-52,7.7,11.8,-4.1
"Puconci",55,27,28,82,46,36,-27,-19,-8,9.4,14.0,-4.6
"Rače - Fram",72,36,36,58,36,22,14,0,14,9.2,7.4,1.8
"Radeče",25,15,10,37,15,22,-12,0,-12,6.1,9.0,-2.9
"Radenci",46,29,17,73,30,43,-27,-1,-26,8.9,14.2,-5.2
"Radlje ob Dravi",50,24,26,113,57,56,-63,-33,-30,8.1,18.2,-10.2
"Radovljica",141,70,71,253,112,141,-112,-42,-70,7.3,13.1,-5.8
"Ravne na Koroškem",103,58,45,78,43,35,25,15,10,9.1,6.9,2.2
"Razkrižje",12,6,6,15,10,5,-3,-4,1,9.7,12.2,-2.4
"Rečica ob Savinji",16,8,8,23,12,11,-7,-4,-3,6.9,10.0,-3.0
"Renče - Vogrsko",19,13,6,72,30,42,-53,-17,-36,4.3,16.4,-12.1
"Ribnica",101,53,48,104,44,60,-3,9,-12,10.4,10.7,-0.3
"Ribnica na Pohorju",8,3,5,9,7,2,-1,-4,3,7.1,8.0,-0.9
